"Product/ID,""product_id"",""location_id"",""qty"""
"__export__.product_product_54675_1936fac9,""54675"","""",""2.0"""
"__export__.product_product_144703_4875e8b2,""144703"","""",""51.0"""
"__export__.product_product_144704_e981c792,""144704"","""",""67.0"""
"__export__.product_product_144695_6e21539a,""144695"","""",""293.0"""
"__export__.product_product_144696_cf6c1bdb,""144696"","""",""108.0"""
"__export__.product_product_144701_1596d33f,""144701"","""",""0.0"""
"__export__.product_product_144702_cf259ca7,""144702"","""",""10.0"""
"__export__.product_product_144699_014e3de6,""144699"","""",""125.0"""
"__export__.product_product_144700_521d46c5,""144700"","""",""0.0"""
"__export__.product_product_32119_ec73a429,""32119"","""",""0.0"""
"__export__.product_product_110260_80db386a,""110260"","""",""0.0"""
"__export__.product_product_32120_3e7b45da,""32120"","""",""0.0"""
"__export__.product_product_32121_d200bfa1,""32121"","""",""0.0"""
"__export__.product_product_32122_da389c0d,""32122"","""",""0.0"""
"__export__.product_product_32123_679d5ce3,""32123"","""",""0.0"""
"__export__.product_product_32124_ee0c824e,""32124"","""",""0.0"""
"__export__.product_product_32031_980628b5,""32031"","""",""0.0"""
"__export__.product_product_32032_bf4506e1,""32032"","""",""0.0"""
"__export__.product_product_32060_985d7d53,""32060"","""",""0.0"""
"__export__.product_product_32037_fee9f034,""32037"","""",""83.0"""
"__export__.product_product_32137_f7515b23,""32137"","""",""0.0"""
"__export__.product_product_32135_f7484d07,""32135"","""",""5.0"""
"__export__.product_product_144765_44d68fe0,""144765"","""",""37.0"""
"__export__.product_product_144763_06aad636,""144763"","""",""78.0"""
"__export__.product_product_144764_6d6e9ec8,""144764"","""",""102.0"""
"__export__.product_product_144873_60a91291,""144873"","""",""0.0"""
"__export__.product_product_144629_ae427542,""144629"","""",""5.0"""
"__export__.product_product_144630_bbd0d0f6,""144630"","""",""0.0"""
"__export__.product_product_144631_d1bfbc99,""144631"","""",""0.0"""
"__export__.product_product_144628_aab6543c,""144628"","""",""0.0"""
"__export__.product_product_54641_8dd3eb15,""54641"","""",""0.0"""
"__export__.product_product_54650_9156cd4d,""54650"","""",""0.0"""
"__export__.product_product_54699_cc5418a9,""54699"","""",""0.0"""
"__export__.product_product_54702_219b7321,""54702"","""",""18.0"""
"__export__.product_product_144817_b8c29c36,""144817"","""",""7.0"""
"__export__.product_product_144818_9bacde29,""144818"","""",""17.0"""
"__export__.product_product_144799_5762b05f,""144799"","""",""40.0"""
"__export__.product_product_144798_6bf9e74d,""144798"","""",""14.0"""
"__export__.product_product_144815_d836fe5f,""144815"","""",""49.0"""
"__export__.product_product_144816_9eb69aa6,""144816"","""",""14.0"""
"__export__.product_product_144806_b2bd49b6,""144806"","""",""13.0"""
"__export__.product_product_144805_51a79a0a,""144805"","""",""39.0"""
"__export__.product_product_144800_f3cff15d,""144800"","""",""48.0"""
"__export__.product_product_144802_f5ad31b0,""144802"","""",""0.0"""
"__export__.product_product_144801_72cf02ef,""144801"","""",""56.0"""
"__export__.product_product_144803_d5c429e0,""144803"","""",""96.0"""
"__export__.product_product_144804_62089703,""144804"","""",""64.0"""
"__export__.product_product_144812_9fc67bed,""144812"","""",""59.0"""
"__export__.product_product_144811_aa5df37e,""144811"","""",""17.0"""
"__export__.product_product_144813_ee38417a,""144813"","""",""23.0"""
"__export__.product_product_144814_99d1b3f0,""144814"","""",""36.0"""
"__export__.product_product_144807_292b549f,""144807"","""",""22.0"""
"__export__.product_product_144810_822995c7,""144810"","""",""19.0"""
"__export__.product_product_144808_d52518d6,""144808"","""",""23.0"""
"__export__.product_product_144809_c262d88a,""144809"","""",""22.0"""
"__export__.product_product_232346_6209e2f4,""232346"","""",""0.0"""
"__export__.product_product_144795_60955989,""144795"","""",""29.0"""
"__export__.product_product_144796_ad9eddc3,""144796"","""",""0.0"""
"__export__.product_product_144797_8810c018,""144797"","""",""0.0"""
"__export__.product_product_144792_54f3e683,""144792"","""",""7.0"""
"__export__.product_product_144789_39f07a5b,""144789"","""",""24.0"""
"__export__.product_product_144790_892864ed,""144790"","""",""24.0"""
"__export__.product_product_110253_07664ba2,""110253"","""",""2.0"""
"__export__.product_product_144791_af3e436d,""144791"","""",""0.0"""
"__export__.product_product_144793_92abd6a0,""144793"","""",""0.0"""
"__export__.product_product_144794_6a3135b9,""144794"","""",""1.0"""
"__export__.product_product_54669_c09bd29f,""54669"","""",""5.0"""
"__export__.product_product_54670_866243db,""54670"","""",""80.0"""
"__export__.product_product_54668_744d5873,""54668"","""",""-2.0"""
"__export__.product_product_54671_8307127d,""54671"","""",""16.0"""
"__export__.product_product_54672_c103225b,""54672"","""",""0.0"""
"__export__.product_product_54667_c9513d27,""54667"","""",""29.0"""
"__export__.product_product_54674_6d703f45,""54674"","""",""0.0"""
"__export__.product_product_144697_f4b20fbf,""144697"","""",""129.0"""
"__export__.product_product_144698_97eb08e7,""144698"","""",""11.0"""
"__export__.product_product_90670_04f28d79,""90670"","""",""0.0"""
"__export__.product_product_160531_4359ea8c,""160531"","""",""0.0"""
"__export__.product_product_160529_d6e59d55,""160529"","""",""0.0"""
"__export__.product_product_90678_c328f2c4,""90678"","""",""0.0"""
"__export__.product_product_90679_5500245b,""90679"","""",""0.0"""
"__export__.product_product_144678_2ff5ad24,""144678"","""",""0.0"""
"__export__.product_product_144679_0a601666,""144679"","""",""0.0"""
"__export__.product_product_144677_bd6797c4,""144677"","""",""0.0"""
"__export__.product_product_90683_d89f4b35,""90683"","""",""0.0"""
"__export__.product_product_90682_fe1080d4,""90682"","""",""0.0"""
"__export__.product_product_90690_cb2450bd,""90690"","""",""0.0"""
"__export__.product_product_160525_f96b9ae0,""160525"","""",""0.0"""
"__export__.product_product_144762_ab4b5b2e,""144762"","""",""3.0"""
"__export__.product_product_90675_11bc2949,""90675"","""",""0.0"""
"__export__.product_product_90674_9a5577f0,""90674"","""",""0.0"""
"__export__.product_product_144613_0633f4b8,""144613"","""",""26.0"""
"__export__.product_product_144611_38c71caf,""144611"","""",""21.0"""
"__export__.product_product_144608_f964a2c5,""144608"","""",""27.0"""
"__export__.product_product_144612_3d3a87a3,""144612"","""",""41.0"""
"__export__.product_product_144609_6bb805bd,""144609"","""",""41.0"""
"__export__.product_product_144607_67ed0243,""144607"","""",""59.0"""
"__export__.product_product_144589_7032dfcc,""144589"","""",""9.0"""
"__export__.product_product_54638_f9a962f5,""54638"","""",""62.0"""
"__export__.product_product_54640_3b6faa59,""54640"","""",""64.0"""
"__export__.product_product_54704_22bcdbcb,""54704"","""",""0.0"""
"__export__.product_product_54639_729383ae,""54639"","""",""36.0"""
"__export__.product_product_31989_a6db7fee,""31989"","""",""0.0"""
"__export__.product_product_32074_9ffdedc9,""32074"","""",""28.0"""
"__export__.product_product_32075_ffbe67ff,""32075"","""",""0.0"""
"__export__.product_product_32076_fd451386,""32076"","""",""53.0"""
"__export__.product_product_32077_a90f9ce0,""32077"","""",""35.0"""
"__export__.product_product_32078_4c7a7d15,""32078"","""",""47.0"""
"__export__.product_product_32079_cc5bfa15,""32079"","""",""19.0"""
"__export__.product_product_32080_c40eaee3,""32080"","""",""35.0"""
"__export__.product_product_32127_c4fff2d1,""32127"","""",""-2.0"""
"__export__.product_product_32098_fa72ae3c,""32098"","""",""0.0"""
"__export__.product_product_32101_ce042c42,""32101"","""",""26.0"""
"__export__.product_product_32089_67b90cbd,""32089"","""",""29.0"""
"__export__.product_product_32090_cdf2e579,""32090"","""",""17.0"""
"__export__.product_product_32091_6cf239b9,""32091"","""",""12.0"""
"__export__.product_product_32092_760665fc,""32092"","""",""11.0"""
"__export__.product_product_32093_178395dd,""32093"","""",""5.0"""
"__export__.product_product_32094_0e886bde,""32094"","""",""2.0"""
"__export__.product_product_32051_86a0d717,""32051"","""",""39.0"""
"__export__.product_product_32052_b534d921,""32052"","""",""44.0"""
"__export__.product_product_32053_c2dcd431,""32053"","""",""57.0"""
"__export__.product_product_32054_7a13bf21,""32054"","""",""28.0"""
"__export__.product_product_32055_c809ea8e,""32055"","""",""31.0"""
"__export__.product_product_32056_69ac089e,""32056"","""",""44.0"""
"__export__.product_product_31983_6f446bad,""31983"","""",""0.0"""
"__export__.product_product_31984_830f1f0d,""31984"","""",""7.0"""
"__export__.product_product_31985_8c7b96b3,""31985"","""",""9.0"""
"__export__.product_product_31986_5cd1b3fd,""31986"","""",""1.0"""
"__export__.product_product_31987_ddd5df11,""31987"","""",""5.0"""
"__export__.product_product_31988_1852d5ce,""31988"","""",""20.0"""
"__export__.product_product_54681_020558f3,""54681"","""",""0.0"""
"__export__.product_product_144705_286cdb80,""144705"","""",""2.0"""
"__export__.product_product_54673_953c41c8,""54673"","""",""0.0"""
"__export__.product_product_54666_924d3b60,""54666"","""",""3.0"""
"__export__.product_product_32038_5a6aca1f,""32038"","""",""0.0"""
"__export__.product_product_32040_bafb0c79,""32040"","""",""21.0"""
"__export__.product_product_32042_890a8f76,""32042"","""",""0.0"""
"__export__.product_product_32044_bb2eca9d,""32044"","""",""0.0"""
"__export__.product_product_32057_a50d092b,""32057"","""",""0.0"""
"__export__.product_product_32058_9a8d49b4,""32058"","""",""28.0"""
"__export__.product_product_32059_5216fffc,""32059"","""",""23.0"""
"__export__.product_product_32133_c9569d04,""32133"","""",""0.0"""
"__export__.product_product_32134_d1c4ce29,""32134"","""",""0.0"""
"__export__.product_product_32126_5df39ff5,""32126"","""",""0.0"""
"__export__.product_product_32048_576ba2aa,""32048"","""",""117.0"""
"__export__.product_product_32029_6d026f9f,""32029"","""",""0.0"""
"__export__.product_product_182776_1b816822,""182776"","""",""0.0"""
"__export__.product_product_182779_705c7831,""182779"","""",""0.0"""
"__export__.product_product_32030_aa0c49f4,""32030"","""",""0.0"""
"__export__.product_product_144835_67268820,""144835"","""",""30.0"""
"__export__.product_product_144741_3b7fdbe1,""144741"","""",""5.0"""
"__export__.product_product_144739_d7c56332,""144739"","""",""12.0"""
"__export__.product_product_144777_f338a0fa,""144777"","""",""0.0"""
"__export__.product_product_90688_d8e77d6e,""90688"","""",""12.0"""
"__export__.product_product_90689_a37c76c6,""90689"","""",""4.0"""
"__export__.product_product_90687_68c03196,""90687"","""",""4.0"""
"__export__.product_product_32064_60442daa,""32064"","""",""12.0"""
"__export__.product_product_32067_d3e6de0e,""32067"","""",""15.0"""
"__export__.product_product_32062_df48390e,""32062"","""",""25.0"""
"__export__.product_product_32061_a950b0be,""32061"","""",""20.0"""
"__export__.product_product_144573_46243e5a,""144573"","""",""58.0"""
"__export__.product_product_144581_40deec63,""144581"","""",""29.0"""
"__export__.product_product_144593_d01aa27e,""144593"","""",""28.0"""
"__export__.product_product_144618_02412e98,""144618"","""",""26.0"""
"__export__.product_product_144617_748f4e19,""144617"","""",""2.0"""
"__export__.product_product_144619_4a2a9ebd,""144619"","""",""15.0"""
"__export__.product_product_144616_d9f31a29,""144616"","""",""19.0"""
"__export__.product_product_144594_606f6184,""144594"","""",""2.0"""
"__export__.product_product_144615_17bd9d33,""144615"","""",""2.0"""
"__export__.product_product_144602_ca63f018,""144602"","""",""0.0"""
"__export__.product_product_31998_4d4e059c,""31998"","""",""0.0"""
"__export__.product_product_32000_a103d402,""32000"","""",""0.0"""
"__export__.product_product_32035_2e9548a1,""32035"","""",""24.0"""
"__export__.product_product_32034_65c9f159,""32034"","""",""46.0"""
"__export__.product_product_32111_970990cd,""32111"","""",""25.0"""
"__export__.product_product_32114_2caa17d4,""32114"","""",""39.0"""
"__export__.product_product_32001_1ea73e77,""32001"","""",""0.0"""
"__export__.product_product_32117_073b3b69,""32117"","""",""67.0"""
"__export__.product_product_32118_bde74bce,""32118"","""",""34.0"""
"__export__.product_product_144776_966e0608,""144776"","""",""0.0"""
"__export__.product_product_144621_22ecd0ac,""144621"","""",""0.0"""
"__export__.product_product_144622_331128b5,""144622"","""",""47.0"""
"__export__.product_product_144625_f3e3db49,""144625"","""",""0.0"""
"__export__.product_product_54690_68c39423,""54690"","""",""0.0"""
"__export__.product_product_54691_24cda939,""54691"","""",""0.0"""
